[2026-06-10T23:05:59.208Z] GET http://localhost:8799/index.html → 200 (9ms, 58466B)
[2026-06-10T23:05:59.224Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700;800&display=swap → 200 (244ms, 15042B)
[2026-06-10T23:05:59.224Z] GET https://wefehuborztphmxllmwt.supabase.co/storage/v1/object/public/landing/assets/mm-logotipo.png → 200 (802ms, ?B)
[2026-06-10T23:05:59.224Z] GET https://wefehuborztphmxllmwt.supabase.co/storage/v1/object/public/landing/assets/galeon/g03.jpg → 200 (605ms, ?B)
[2026-06-10T23:05:59.224Z] GET https://wefehuborztphmxllmwt.supabase.co/storage/v1/object/public/landing/assets/galeon/g04.jpg → pending (?ms, ?B)
[2026-06-10T23:05:59.224Z] GET https://wefehuborztphmxllmwt.supabase.co/storage/v1/object/public/landing/assets/mm-isotipo.png → pending (?ms, ?B)
[2026-06-10T23:05:59.224Z] GET https://wefehuborztphmxllmwt.supabase.co/storage/v1/object/public/landing/assets/icon-instagram.png → pending (?ms, ?B)
[2026-06-10T23:05:59.224Z] GET https://wefehuborztphmxllmwt.supabase.co/storage/v1/object/public/landing/assets/icon-youtube.png → pending (?ms, ?B)
[2026-06-10T23:05:59.224Z] GET https://wefehuborztphmxllmwt.supabase.co/storage/v1/object/public/landing/assets/icon-web.png → pending (?ms, ?B)
[2026-06-10T23:05:59.517Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (509ms, 48432B)
[2026-06-10T23:05:59.518Z] GET https://wefehuborztphmxllmwt.supabase.co/storage/v1/object/public/landing/assets/galeon/g01.jpg → pending (?ms, ?B)
[2026-06-10T23:05:59.519Z] GET https://wefehuborztphmxllmwt.supabase.co/storage/v1/object/public/landing/assets/galeon/g25.jpg → pending (?ms, ?B)
[2026-06-10T23:05:59.519Z] GET https://wefehuborztphmxllmwt.supabase.co/storage/v1/object/public/landing/assets/galeon/g19.jpg → pending (?ms, ?B)
[2026-06-10T23:05:59.519Z] GET https://wefehuborztphmxllmwt.supabase.co/storage/v1/object/public/landing/assets/galeon/g16.jpg → pending (?ms, ?B)
[2026-06-10T23:05:59.519Z] GET https://wefehuborztphmxllmwt.supabase.co/storage/v1/object/public/landing/assets/galeon/g15.jpg → pending (?ms, ?B)
[2026-06-10T23:05:59.519Z] GET https://wefehuborztphmxllmwt.supabase.co/storage/v1/object/public/landing/assets/galeon/g11.jpg → pending (?ms, ?B)
[2026-06-10T23:05:59.519Z] GET https://wefehuborztphmxllmwt.supabase.co/storage/v1/object/public/landing/assets/galeon/g06.jpg → pending (?ms, ?B)
